iter	RMSE
0	0.4747728544
1	0.455170992
2	0.4387188356
3	0.4251913608
4	0.4140742143
5	0.4049108983
6	0.3974142356
7	0.3914165472
8	0.386403941
9	0.3824206303
10	0.3791606425
11	0.3765108485
12	0.3744102009
13	0.3726387671
14	0.3711788127
15	0.3699870973
16	0.369020513
17	0.3682363911
18	0.3675731619
19	0.3670443597
20	0.3666213767
21	0.3662527859
22	0.365936254
23	0.3656930451
24	0.3654476552
25	0.3652304255
26	0.3650187031
27	0.3648508918
28	0.3646929279
29	0.3645401562
30	0.3644013214
31	0.3643120159
32	0.3641857998
33	0.3640749485
34	0.3640084785
35	0.3639378576
36	0.3638765341
37	0.3638235575
38	0.3637696649
39	0.363720456
40	0.3636816023
41	0.3636162771
42	0.3635285642
43	0.3634932808
44	0.3634343652
45	0.3634180451
46	0.3633838213
47	0.3633032125
48	0.3632572632
49	0.3632341987
50	0.3631996924
51	0.3631651539
52	0.3630939835
53	0.3630674073
54	0.3630132443
55	0.3629873275
56	0.3629493905
57	0.3629221106
58	0.3628804985
59	0.3628476464
60	0.3628225935
61	0.3627990178
62	0.3627806466
63	0.3627548654
64	0.3627375798
65	0.3627140121
66	0.362651037
67	0.362633145
68	0.3626087901
69	0.3625375399
70	0.3625047998
71	0.362442825
72	0.3624219839
73	0.3624006545
74	0.3623424725
75	0.3622942667
76	0.3622746514
77	0.3622522416
78	0.3622326568
79	0.3622104647
80	0.3621736642
81	0.3621455331
82	0.3621313407
83	0.3620984199
84	0.3620847657
85	0.3620686572
86	0.3620474044
87	0.3620261429
88	0.362005632
89	0.3619918168
90	0.3619791026
91	0.3619687142
92	0.361952077
93	0.3619050077
94	0.3618571024
95	0.3618372837
96	0.3618084337
97	0.3617779743
98	0.3617646004
99	0.3617543218
100	0.3617174758
101	0.3616795733
102	0.3616663827
103	0.361656798
104	0.3616275999
105	0.3616094466
106	0.3615745035
107	0.3615586035
108	0.361522059
109	0.3614986512
110	0.3614793663
111	0.3614646426
112	0.3614537411
113	0.3614346983
114	0.3614174225
115	0.3614047006
116	0.3613650081
117	0.3613459397
118	0.361332448
119	0.3613130888
120	0.3613012409
121	0.3612929634
122	0.3612646446
123	0.3612427949
124	0.3612254213
125	0.3612081006
126	0.3611935031
127	0.3611624443
128	0.3611366457
129	0.3611152647
130	0.3610969248
131	0.3610662578
132	0.3610553325
133	0.3610357927
134	0.3610204358
135	0.360991355
136	0.3609698386
137	0.3609439677
138	0.3609252344
139	0.3609017898
140	0.3608866921
141	0.3608627195
142	0.3608505843
143	0.3608345351
144	0.3608174073
145	0.3608059989
146	0.360766909
147	0.360754725
148	0.3607454915
149	0.360725503
150	0.3607056182
151	0.3606878328
152	0.3606751398
153	0.3606611908
154	0.3606272021
155	0.3606055788
156	0.3605905107
157	0.3605665473
158	0.3605484409
159	0.3605222585
160	0.3605001984
161	0.3604708051
162	0.3604582158
163	0.360455737
164	0.3604440635
165	0.3604406662
166	0.3604154957
167	0.3604020011
168	0.3603851884
169	0.3603668403
170	0.3603391899
171	0.3603262589
172	0.3602996956
173	0.3602861801
174	0.360268808
175	0.3602670712
176	0.3602500692
177	0.3602431146
178	0.3602236996
179	0.360222812
180	0.3602113742
181	0.3602015241
182	0.3601840652
183	0.3601650104
184	0.3601512058
185	0.360130665
186	0.3601287937
187	0.360117155
188	0.3601052173
189	0.3600912606
190	0.3600777541
191	0.360062947
192	0.3600459685
193	0.3600426529
194	0.3600297566
195	0.3600160006
196	0.3599957476
197	0.3599776732
198	0.3599762157
199	0.3599625078
200	0.3599371912
201	0.3599223506
202	0.3599100604
203	0.3598985724
204	0.3598736328
205	0.3598517987
206	0.3598418134
207	0.3598293789
208	0.3598261147
209	0.3598106539
210	0.3597898503
211	0.359775294
212	0.3597611986
213	0.3597574057
214	0.359750203
215	0.359732946
216	0.3597135173
217	0.3597040632
218	0.3596943965
219	0.3596928462
220	0.359680838
221	0.3596642056
222	0.3596473886
223	0.35962245
224	0.359609566
225	0.3596063818
226	0.3595951519
227	0.3595817845
228	0.3595710578
229	0.3595575493
230	0.3595402952
231	0.359533618
232	0.3595253639
233	0.359516156
234	0.359507414
235	0.3594892288
236	0.3594754123
237	0.3594604024
238	0.3594457332
239	0.3594350282
240	0.3594304339
241	0.3594287453
242	0.3594234536
243	0.3594044765
244	0.35938954
245	0.3593851336
246	0.3593643106
247	0.3593586764
248	0.3593492479
249	0.3593360328
250	0.3593222157
251	0.3593088692
252	0.3592874211
253	0.3592737618
254	0.3592619192
255	0.3592490362
256	0.3592460124
257	0.3592348753
258	0.3592172425
259	0.3592066576
260	0.3591925615
261	0.3591794912
262	0.3591687759
263	0.3591518476
264	0.3591276193
265	0.3591056177
266	0.3590901332
267	0.3590876596
268	0.3590766481
269	0.3590665883
270	0.3590576932
271	0.3590465769
272	0.3590283197
273	0.3590099786
274	0.359008526
275	0.3590014683
276	0.3589893577
277	0.3589776958
278	0.3589636325
279	0.3589483952
280	0.3589335705
281	0.3589250739
282	0.35890633
283	0.3588939287
284	0.3588833335
285	0.358867763
286	0.3588572122
287	0.3588503723
288	0.3588402706
289	0.3588322138
290	0.3588212584
291	0.3588184138
292	0.3588062366
293	0.3587924066
294	0.3587790398
295	0.3587646629
296	0.3587564925
297	0.3587529871
298	0.3587528831
299	0.35873434
300	0.3587243466
301	0.3587156252
302	0.3587079916
303	0.3587009446
304	0.3586896684
305	0.3586786828
306	0.3586657871
307	0.3586552646
308	0.3586450527
309	0.35863084
310	0.3586193296
311	0.3586097097
312	0.3585994781
313	0.3585891725
314	0.3585805631
315	0.3585677141
316	0.3585574235
317	0.3585433621
318	0.3585336214
319	0.358523064
320	0.3585113268
321	0.3585013063
322	0.3584932305
323	0.3584825038
324	0.3584707312
325	0.3584706481
326	0.3584593026
327	0.3584543493
328	0.3584541658
329	0.358448565
330	0.3584407737
331	0.3584359705
332	0.3584257302
333	0.3584148317
334	0.3584046329
335	0.3583933068
336	0.3583814366
337	0.3583762045
338	0.3583646764
339	0.3583542935
340	0.3583479839
341	0.3583393153
342	0.3583327347
343	0.3583326522
344	0.3583239899
345	0.3583148401
346	0.358305114
347	0.35829875
348	0.3582860928
349	0.3582753116
350	0.3582609066
351	0.3582531609
352	0.3582438055
353	0.3582393023
354	0.3582326417
355	0.3582199208
356	0.3582084102
357	0.3581997555
358	0.3581899194
359	0.3581813009
360	0.3581696563
361	0.3581647862
362	0.358156226
363	0.3581478018
364	0.3581373309
365	0.3581273308
366	0.3581272538
367	0.3581157065
368	0.3581112706
369	0.358104052
370	0.3580911074
371	0.3580793314
372	0.3580727751
373	0.3580679264
374	0.3580588894
375	0.3580454236
376	0.358036718
377	0.3580309446
378	0.3580214143
379	0.3580104574
380	0.3580037288
381	0.3579982773
382	0.3579848123
383	0.3579768735
384	0.3579726894
385	0.3579623273
386	0.3579571174
387	0.3579488368
388	0.3579382276
389	0.3579259284
390	0.3579139805
391	0.3579067708
392	0.357901634
393	0.3578926812
394	0.3578841578
395	0.3578768848
396	0.3578615364
397	0.3578496206
398	0.3578365233
399	0.3578299634
400	0.357821356
401	0.3578174176
402	0.3578096718
403	0.3578024878
404	0.357797437
405	0.3577838038
406	0.3577741476
407	0.3577678149
408	0.3577589419
409	0.3577511394
410	0.357742246
411	0.3577274671
412	0.3577167869
413	0.3577068974
414	0.3576968487
415	0.3576919768
416	0.3576834156
417	0.3576747522
418	0.3576666217
419	0.3576592803
420	0.3576495903
421	0.3576447246
422	0.3576342871
423	0.3576297597
424	0.3576219839
425	0.3576116005
426	0.3576048721
427	0.3576048079
428	0.3575905512
429	0.3575854706
430	0.357575438
431	0.3575690392
432	0.3575581467
433	0.3575489581
434	0.3575371738
435	0.3575299172
436	0.3575244106
437	0.3575163431
438	0.3575086521
439	0.3574956309
440	0.3574871327
441	0.357478975
442	0.3574701653
443	0.357460574
444	0.3574549165
445	0.3574447939
446	0.3574371344
447	0.3574315248
448	0.3574216862
449	0.3574139587
450	0.3574002323
451	0.3573903509
452	0.3573789429
453	0.3573711535
454	0.3573620091
455	0.3573529431
456	0.3573481878
457	0.3573417203
458	0.3573352998
459	0.3573306837
460	0.3573234296
461	0.3573159348
462	0.357309865
463	0.3573012408
464	0.3572932209
465	0.3572842472
466	0.357275988
467	0.3572699109
468	0.3572616061
469	0.357257485
470	0.357244311
471	0.3572350416
472	0.3572265985
473	0.3572217703
474	0.3572176147
475	0.357210586
476	0.3572022076
477	0.3571966726
478	0.3571879552
479	0.3571797253
480	0.3571727358
481	0.3571646453
482	0.357161501
483	0.3571521771
484	0.3571435027
485	0.3571400364
486	0.357130889
487	0.3571229057
488	0.3571134391
489	0.3571061024
490	0.3571012834
491	0.3570932917
492	0.3570845467
493	0.3570745564
494	0.3570653718
495	0.3570532492
496	0.3570449374
497	0.3570308548
498	0.3570209725
499	0.3570133309
500	0.3570041152
501	0.3569967728
502	0.3569880549
503	0.3569802434
504	0.3569738319
505	0.3569693553
506	0.3569603414
507	0.3569543712
508	0.3569450303
509	0.3569391881
510	0.3569332057
511	0.3569258317
512	0.3569185141
513	0.3569126419
514	0.3569063983
515	0.3568942172
516	0.3568867528
517	0.3568810942
518	0.3568754838
519	0.3568680931
520	0.3568570911
521	0.3568504372
522	0.3568453532
523	0.3568381007
524	0.3568324984
525	0.3568259415
526	0.3568224836
527	0.3568169347
528	0.3568109299
529	0.3568003867
530	0.3567943892
531	0.3567874747
532	0.3567785847
533	0.3567707849
534	0.3567624141
535	0.356752529
536	0.3567417325
537	0.3567333119
538	0.3567225707
539	0.3567152632
540	0.3567067167
541	0.3566994122
542	0.3566876549
543	0.3566775937
544	0.3566684984
545	0.3566628666
546	0.3566575273
547	0.3566538876
548	0.356644376
549	0.3566367045
550	0.3566298512
551	0.3566242429
552	0.3566166239
553	0.3566061873
554	0.3566010824
555	0.3565884169
556	0.3565834501
557	0.3565788129
558	0.3565713607
559	0.3565637034
560	0.3565557074
561	0.3565488816
562	0.3565405613
563	0.356533009
564	0.3565285018
565	0.356518016
566	0.3565074077
567	0.3564955136
568	0.3564916874
569	0.3564803089
570	0.3564751538
571	0.3564709887
572	0.3564583661
573	0.3564538851
574	0.3564466528
575	0.3564423914
576	0.3564318006
577	0.3564265667
578	0.3564193874
579	0.3564097833
580	0.3564016344
581	0.3563994002
582	0.3563890931
583	0.3563817692
584	0.3563763545
585	0.3563728012
586	0.3563672793
587	0.3563596112
588	0.3563524813
589	0.3563456366
590	0.3563329545
591	0.3563259679
592	0.3563179305
593	0.3563101947
594	0.3563004387
595	0.3562921994
596	0.3562756565
597	0.356268704
598	0.3562610243
599	0.3562564588
600	0.3562447329
601	0.3562380499
602	0.3562295215
603	0.3562239168
604	0.3562167774
605	0.356210457
606	0.3562012918
607	0.3561963396
608	0.3561873555
609	0.3561812526
610	0.3561784051
611	0.3561719093
612	0.3561643452
613	0.3561593777
614	0.3561546195
615	0.3561469484
616	0.3561360739
617	0.3561272669
618	0.3561174631
619	0.3561123509
620	0.3561053678
621	0.3560974707
622	0.3560947329
623	0.3560843088
624	0.3560758248
625	0.3560732876
626	0.3560643191
627	0.3560576391
628	0.3560550745
629	0.3560473308
630	0.3560391238
631	0.3560324896
632	0.3560301126
633	0.3560223676
634	0.3560151035
635	0.3560077942
636	0.3560025022
637	0.3559938854
638	0.3559873825
639	0.3559853233
640	0.355982447
641	0.3559676874
642	0.3559574243
643	0.3559538377
644	0.3559406218
645	0.3559343505
646	0.3559294157
647	0.3559204705
648	0.3559153798
649	0.3559105396
650	0.3559029541
651	0.3558942117
652	0.3558878719
653	0.3558803433
654	0.3558710092
655	0.3558611722
656	0.3558545982
657	0.355848837
658	0.3558430879
659	0.3558394607
660	0.3558295279
661	0.3558233431
662	0.3558167613
663	0.3558135017
664	0.3558028345
665	0.3557944332
666	0.3557869527
667	0.3557841286
668	0.3557795835
669	0.3557716519
670	0.355762854
671	0.3557553279
672	0.3557518937
673	0.3557449861
674	0.3557415433
675	0.3557343556
676	0.3557305385
677	0.3557204544
678	0.3557147076
679	0.3557090422
680	0.3556991214
681	0.3556915746
682	0.3556878937
683	0.3556842329
684	0.3556799757
685	0.3556776669
686	0.3556719495
687	0.355665759
688	0.3556584761
689	0.3556526092
690	0.3556447478
691	0.3556362217
692	0.3556322617
693	0.3556217819
694	0.3556120422
695	0.3556072098
